road,hour,day_of_week,is_weekend,weather,incidents,congestion_pct
İstiqlaliyyət,2,2,0,Açıq,0,23
Ziya Bünyadov,8,6,1,Qarlı,1,99
Rəşid Behbudov,18,2,0,Qarlı,0,100
Atatürk,18,6,1,Qarlı,0,68
Rəşid Behbudov,13,3,0,Qarlı,2,100
Neftçilər,4,3,0,Açıq,1,48
Babək,23,3,0,Qarlı,0,66
Neftçilər,16,5,1,Qarlı,1,82
Heydər Əliyev,17,5,1,Yağışlı,0,40
Rəşid Behbudov,3,2,0,Qarlı,0,51
Qara Qarayev,10,5,1,Açıq,0,40
Heydər Əliyev,7,1,0,Dumanlı,0,86
Atatürk,15,4,0,Açıq,0,42
Atatürk,19,5,1,Açıq,0,26
Tbilisi,9,1,0,Açıq,0,61
Rəşid Behbudov,7,6,1,Dumanlı,0,45
Neftçilər,7,5,1,Dumanlı,0,39
Heydər Əliyev,11,4,0,Yağışlı,1,85
Zərdabi,17,2,0,Qarlı,0,92
Heydər Əliyev,2,6,1,Yağışlı,0,50
Babək,10,0,0,Qarlı,0,64
Tbilisi,23,4,0,Qarlı,0,66
Tbilisi,14,6,1,Qarlı,0,90
Atatürk,23,1,0,Yağışlı,0,35
Ziya Bünyadov,18,3,0,Yağışlı,1,100
Ziya Bünyadov,1,0,0,Qarlı,0,57
Heydər Əliyev,17,2,0,Açıq,1,85
Neftçilər,8,3,0,Dumanlı,1,100
Tbilisi,13,1,0,Dumanlı,0,52
Tbilisi,10,1,0,Yağışlı,1,87
Qara Qarayev,21,4,0,Yağışlı,0,48
Heydər Əliyev,18,4,0,Dumanlı,1,99
Ziya Bünyadov,5,2,0,Açıq,0,38
Zərdabi,1,3,0,Yağışlı,0,51
Atatürk,14,1,0,Qarlı,1,94
Qara Qarayev,16,1,0,Yağışlı,0,61
İstiqlaliyyət,5,1,0,Dumanlı,2,87
İstiqlaliyyət,4,2,0,Yağışlı,1,51
Qara Qarayev,0,2,0,Dumanlı,0,41
Neftçilər,3,4,0,Dumanlı,0,26
Babək,21,2,0,Yağışlı,0,37
Atatürk,20,4,0,Açıq,0,62
Tbilisi,11,5,1,Dumanlı,0,40
Atatürk,2,1,0,Qarlı,1,74
Rəşid Behbudov,0,0,0,Dumanlı,0,29
Rəşid Behbudov,12,0,0,Qarlı,1,87
Tbilisi,1,6,1,Dumanlı,0,31
Qara Qarayev,13,0,0,Açıq,0,20
Qara Qarayev,0,3,0,Qarlı,0,63
Ziya Bünyadov,22,5,1,Qarlı,0,72
Babək,16,5,1,Açıq,0,57
Atatürk,13,4,0,Yağışlı,0,52
Ziya Bünyadov,8,0,0,Yağışlı,0,100
Ziya Bünyadov,7,4,0,Qarlı,0,100
Tbilisi,19,1,0,Açıq,0,51
Neftçilər,21,3,0,Açıq,0,29
Neftçilər,13,1,0,Dumanlı,0,61
Zərdabi,2,2,0,Açıq,0,15
Ziya Bünyadov,5,5,1,Yağışlı,0,37
Ziya Bünyadov,15,5,1,Açıq,0,50
Rəşid Behbudov,2,4,0,Yağışlı,0,30
Neftçilər,0,0,0,Qarlı,1,63
Qara Qarayev,16,1,0,Yağışlı,0,41
Qara Qarayev,15,1,0,Yağışlı,0,53
İstiqlaliyyət,7,2,0,Yağışlı,0,85
Heydər Əliyev,12,0,0,Açıq,1,68
Heydər Əliyev,21,1,0,Qarlı,0,53
Neftçilər,16,0,0,Dumanlı,0,48
Qara Qarayev,21,1,0,Açıq,3,82
Qara Qarayev,16,2,0,Yağışlı,0,59
Neftçilər,2,3,0,Açıq,0,18
Atatürk,20,0,0,Qarlı,0,95
Qara Qarayev,18,2,0,Açıq,0,62
Neftçilər,13,5,1,Yağışlı,0,63
Ziya Bünyadov,4,3,0,Açıq,1,54
Rəşid Behbudov,21,4,0,Yağışlı,0,44
Heydər Əliyev,6,0,0,Dumanlı,1,55
Neftçilər,14,2,0,Qarlı,0,77
Babək,14,2,0,Açıq,0,47
İstiqlaliyyət,20,2,0,Yağışlı,0,80
Qara Qarayev,13,4,0,Açıq,0,31
Zərdabi,18,0,0,Dumanlı,0,65
Neftçilər,3,1,0,Açıq,0,27
Neftçilər,22,1,0,Dumanlı,0,23
Atatürk,14,1,0,Yağışlı,0,60
Babək,23,6,1,Dumanlı,0,28
Rəşid Behbudov,21,6,1,Yağışlı,0,37
Tbilisi,3,5,1,Açıq,0,13
Tbilisi,7,4,0,Qarlı,0,98
Atatürk,13,4,0,Yağışlı,0,63
Rəşid Behbudov,7,4,0,Dumanlı,0,84
Tbilisi,10,1,0,Açıq,1,66
Rəşid Behbudov,5,5,1,Açıq,0,15
Tbilisi,15,4,0,Yağışlı,0,61
Neftçilər,11,3,0,Dumanlı,0,48
Rəşid Behbudov,17,6,1,Dumanlı,0,60
Ziya Bünyadov,5,1,0,Dumanlı,0,40
Atatürk,15,4,0,Dumanlı,0,67
Qara Qarayev,2,4,0,Açıq,2,56
Babək,0,5,1,Açıq,0,12
Rəşid Behbudov,16,4,0,Yağışlı,0,50
Neftçilər,13,1,0,Qarlı,0,76
Neftçilər,7,2,0,Qarlı,0,100
Heydər Əliyev,9,5,1,Açıq,1,64
Atatürk,8,2,0,Açıq,1,90
Tbilisi,21,0,0,Açıq,0,15
Tbilisi,22,1,0,Yağışlı,0,40
Atatürk,4,0,0,Dumanlı,0,34
Babək,1,3,0,Qarlı,0,52
Zərdabi,9,1,0,Açıq,0,63
Neftçilər,5,6,1,Qarlı,0,54
Neftçilər,14,5,1,Yağışlı,0,68
Ziya Bünyadov,16,4,0,Qarlı,0,79
Tbilisi,14,6,1,Dumanlı,0,57
Neftçilər,22,1,0,Yağışlı,0,43
Heydər Əliyev,23,5,1,Yağışlı,0,39
Ziya Bünyadov,21,5,1,Açıq,2,76
Rəşid Behbudov,16,5,1,Dumanlı,0,54
Ziya Bünyadov,9,0,0,Yağışlı,1,100
Tbilisi,5,0,0,Dumanlı,0,36
Atatürk,0,3,0,Qarlı,0,59
İstiqlaliyyət,18,1,0,Yağışlı,0,91
Rəşid Behbudov,23,5,1,Yağışlı,1,66
Rəşid Behbudov,12,2,0,Yağışlı,0,74
Rəşid Behbudov,14,1,0,Qarlı,0,72
Neftçilər,5,6,1,Yağışlı,1,65
Zərdabi,10,2,0,Qarlı,0,84
İstiqlaliyyət,15,5,1,Açıq,0,40
Heydər Əliyev,1,2,0,Dumanlı,0,30
Tbilisi,20,6,1,Qarlı,0,73
Rəşid Behbudov,0,0,0,Açıq,0,11
Neftçilər,0,1,0,Yağışlı,0,39
Zərdabi,0,6,1,Qarlı,0,52
Ziya Bünyadov,4,3,0,Qarlı,0,70
Zərdabi,15,2,0,Açıq,0,31
Atatürk,5,3,0,Qarlı,0,63
Neftçilər,14,2,0,Yağışlı,1,92
Neftçilər,9,1,0,Dumanlı,0,93
Ziya Bünyadov,14,5,1,Açıq,0,52
Heydər Əliyev,21,0,0,Dumanlı,0,35
Heydər Əliyev,18,2,0,Qarlı,0,100
Tbilisi,15,4,0,Yağışlı,0,62
İstiqlaliyyət,16,5,1,Qarlı,0,61
Ziya Bünyadov,4,2,0,Yağışlı,2,90
Zərdabi,1,6,1,Yağışlı,0,39
Babək,19,0,0,Qarlı,0,88
Zərdabi,23,6,1,Açıq,0,10
Qara Qarayev,22,2,0,Açıq,0,13
Qara Qarayev,6,4,0,Açıq,0,21
Tbilisi,6,6,1,Dumanlı,1,41
Tbilisi,16,1,0,Qarlı,0,64
Babək,12,2,0,Qarlı,0,66
Heydər Əliyev,13,2,0,Yağışlı,1,78
Neftçilər,20,2,0,Yağışlı,0,83
Atatürk,11,6,1,Dumanlı,0,51
Ziya Bünyadov,19,0,0,Yağışlı,0,100
Neftçilər,0,0,0,Qarlı,0,44
Tbilisi,2,6,1,Qarlı,0,53
Heydər Əliyev,20,5,1,Dumanlı,0,59
Tbilisi,23,3,0,Açıq,2,76
İstiqlaliyyət,11,4,0,Dumanlı,0,58
Zərdabi,5,4,0,Açıq,0,14
Zərdabi,5,3,0,Açıq,0,19
Atatürk,19,6,1,Qarlı,0,64
Atatürk,19,6,1,Açıq,0,38
İstiqlaliyyət,5,3,0,Dumanlı,0,28
Zərdabi,7,5,1,Yağışlı,0,45
Rəşid Behbudov,2,6,1,Qarlı,1,71
Atatürk,15,6,1,Dumanlı,0,60
Heydər Əliyev,18,1,0,Qarlı,0,97
Tbilisi,5,1,0,Yağışlı,0,31
Zərdabi,11,5,1,Açıq,1,65
Qara Qarayev,22,3,0,Dumanlı,1,49
Tbilisi,13,6,1,Dumanlı,1,82
Atatürk,12,2,0,Qarlı,1,75
Heydər Əliyev,18,6,1,Qarlı,0,70
Babək,5,6,1,Açıq,0,11
Tbilisi,14,4,0,Açıq,0,22
Heydər Əliyev,14,1,0,Yağışlı,2,95
Qara Qarayev,18,5,1,Dumanlı,0,45
Zərdabi,18,2,0,Açıq,0,65
Babək,20,1,0,Qarlı,0,100
Heydər Əliyev,2,6,1,Yağışlı,0,48
İstiqlaliyyət,0,2,0,Yağışlı,1,72
Neftçilər,19,2,0,Dumanlı,0,84
İstiqlaliyyət,6,0,0,Dumanlı,0,28
Atatürk,20,1,0,Dumanlı,0,86
Ziya Bünyadov,23,0,0,Açıq,2,54
Babək,9,2,0,Yağışlı,0,92
Qara Qarayev,2,5,1,Qarlı,0,61
Neftçilər,23,3,0,Açıq,0,24
Babək,14,5,1,Yağışlı,1,70
Babək,6,1,0,Dumanlı,0,45
İstiqlaliyyət,7,2,0,Açıq,0,84
Ziya Bünyadov,11,3,0,Qarlı,0,81
İstiqlaliyyət,23,2,0,Dumanlı,1,55
Rəşid Behbudov,10,4,0,Yağışlı,0,54
İstiqlaliyyət,7,3,0,Yağışlı,1,100
Babək,23,1,0,Qarlı,0,61
Zərdabi,16,5,1,Qarlı,0,75
Heydər Əliyev,7,0,0,Yağışlı,1,86
Ziya Bünyadov,16,2,0,Açıq,0,52
Tbilisi,18,5,1,Dumanlı,0,40
Qara Qarayev,5,0,0,Açıq,0,30
Tbilisi,1,6,1,Qarlı,1,86
Tbilisi,2,0,0,Qarlı,0,39
Zərdabi,5,2,0,Dumanlı,0,33
Heydər Əliyev,15,6,1,Açıq,0,42
Atatürk,16,4,0,Yağışlı,0,53
Atatürk,5,0,0,Yağışlı,0,31
Neftçilər,12,6,1,Yağışlı,0,66
Qara Qarayev,7,3,0,Açıq,0,62
Rəşid Behbudov,23,1,0,Qarlı,0,56
Zərdabi,12,5,1,Qarlı,0,54
Ziya Bünyadov,22,0,0,Dumanlı,0,42
Rəşid Behbudov,17,6,1,Açıq,0,36
Zərdabi,14,1,0,Dumanlı,0,47
Ziya Bünyadov,6,6,1,Dumanlı,1,63
Babək,3,4,0,Dumanlı,0,27
Qara Qarayev,20,4,0,Yağışlı,0,97
Ziya Bünyadov,13,3,0,Dumanlı,0,62
Tbilisi,22,6,1,Dumanlı,0,35
Tbilisi,4,4,0,Dumanlı,1,41
Atatürk,14,3,0,Yağışlı,0,63
Tbilisi,15,1,0,Dumanlı,2,100
Tbilisi,10,2,0,Dumanlı,1,58
Zərdabi,1,3,0,Açıq,1,39
İstiqlaliyyət,22,3,0,Qarlı,0,42
Heydər Əliyev,14,1,0,Dumanlı,0,51
Babək,19,0,0,Yağışlı,0,78
Atatürk,7,4,0,Açıq,0,67
Heydər Əliyev,8,2,0,Dumanlı,0,67
Rəşid Behbudov,2,2,0,Açıq,0,20
Atatürk,4,4,0,Açıq,0,30
Atatürk,15,5,1,Açıq,2,75
Qara Qarayev,5,2,0,Açıq,0,22
İstiqlaliyyət,22,0,0,Dumanlı,0,23
İstiqlaliyyət,4,6,1,Qarlı,0,52
Qara Qarayev,3,2,0,Dumanlı,1,47
İstiqlaliyyət,7,1,0,Qarlı,0,95
Atatürk,17,1,0,Yağışlı,0,98
Babək,5,3,0,Dumanlı,0,36
Rəşid Behbudov,15,6,1,Qarlı,1,85
Ziya Bünyadov,17,5,1,Qarlı,0,59
Heydər Əliyev,13,6,1,Açıq,1,52
Atatürk,3,5,1,Açıq,0,10
Tbilisi,3,1,0,Qarlı,0,47
Rəşid Behbudov,4,5,1,Dumanlı,0,29
Rəşid Behbudov,4,2,0,Yağışlı,0,47
Qara Qarayev,23,2,0,Açıq,0,19
Tbilisi,18,4,0,Yağışlı,0,89
Atatürk,23,5,1,Dumanlı,0,43
Heydər Əliyev,11,2,0,Dumanlı,0,54
Neftçilər,2,4,0,Açıq,0,29
Babək,20,5,1,Açıq,1,67
Neftçilər,14,1,0,Açıq,0,23
Rəşid Behbudov,22,0,0,Açıq,0,18
Babək,18,2,0,Açıq,0,59
Zərdabi,4,5,1,Dumanlı,1,56
Zərdabi,0,2,0,Açıq,0,30
Zərdabi,15,3,0,Açıq,1,59
Tbilisi,6,1,0,Dumanlı,1,48
Neftçilər,2,6,1,Qarlı,0,67
Tbilisi,10,4,0,Açıq,0,57
Atatürk,1,3,0,Açıq,0,25
Neftçilər,21,6,1,Qarlı,0,45
Babək,12,6,1,Yağışlı,0,55
Babək,21,0,0,Qarlı,0,54
Ziya Bünyadov,16,3,0,Dumanlı,1,87
Neftçilər,6,5,1,Dumanlı,0,39
Qara Qarayev,9,4,0,Dumanlı,0,67
Rəşid Behbudov,13,2,0,Qarlı,0,63
Qara Qarayev,19,5,1,Qarlı,0,71
Rəşid Behbudov,2,6,1,Yağışlı,0,38
Zərdabi,17,2,0,Yağışlı,0,100
Heydər Əliyev,23,5,1,Qarlı,1,74
Heydər Əliyev,8,6,1,Dumanlı,0,35
Atatürk,19,1,0,Yağışlı,0,95
Zərdabi,2,1,0,Qarlı,0,49
Tbilisi,11,2,0,Dumanlı,0,50
Rəşid Behbudov,4,4,0,Açıq,0,15
Ziya Bünyadov,8,4,0,Qarlı,0,100
Babək,11,6,1,Dumanlı,0,63
İstiqlaliyyət,3,5,1,Yağışlı,0,31
Atatürk,0,0,0,Qarlı,0,57
Ziya Bünyadov,15,6,1,Açıq,0,68
Zərdabi,19,6,1,Yağışlı,0,58
Zərdabi,4,6,1,Dumanlı,1,53
Qara Qarayev,6,0,0,Açıq,1,43
Atatürk,17,4,0,Yağışlı,0,100
Zərdabi,17,1,0,Dumanlı,1,100
Atatürk,2,1,0,Qarlı,0,42
Rəşid Behbudov,15,4,0,Yağışlı,3,100
Rəşid Behbudov,16,3,0,Yağışlı,0,63
Atatürk,10,6,1,Qarlı,0,71
Ziya Bünyadov,16,1,0,Qarlı,0,85
İstiqlaliyyət,15,5,1,Yağışlı,0,50
Qara Qarayev,19,6,1,Dumanlı,0,38
Babək,18,0,0,Açıq,1,99
Babək,10,3,0,Qarlı,0,61
Babək,9,3,0,Açıq,2,100
Zərdabi,19,2,0,Yağışlı,1,100
İstiqlaliyyət,22,1,0,Yağışlı,0,32
Zərdabi,8,2,0,Yağışlı,1,100
Tbilisi,4,4,0,Dumanlı,0,42
Zərdabi,20,4,0,Dumanlı,0,73
Rəşid Behbudov,12,4,0,Yağışlı,0,64
Ziya Bünyadov,2,1,0,Dumanlı,0,38
Tbilisi,9,3,0,Dumanlı,1,100
Tbilisi,15,1,0,Açıq,0,23
Babək,20,0,0,Yağışlı,0,100
Atatürk,23,4,0,Qarlı,1,82
Rəşid Behbudov,11,6,1,Yağışlı,0,56
Atatürk,8,2,0,Yağışlı,0,82
Neftçilər,17,4,0,Açıq,0,67
Qara Qarayev,13,5,1,Dumanlı,0,36
Ziya Bünyadov,20,1,0,Açıq,0,86
Neftçilər,9,4,0,Yağışlı,0,78
Heydər Əliyev,23,3,0,Yağışlı,1,43
İstiqlaliyyət,17,1,0,Açıq,1,96
Tbilisi,4,2,0,Yağışlı,2,93
Neftçilər,14,2,0,Açıq,0,36
Tbilisi,5,2,0,Qarlı,2,89
Neftçilər,11,0,0,Dumanlı,0,51
İstiqlaliyyət,15,0,0,Yağışlı,0,58
Ziya Bünyadov,8,3,0,Açıq,0,69
Heydər Əliyev,12,1,0,Dumanlı,0,44
Zərdabi,2,2,0,Yağışlı,0,52
Neftçilər,4,1,0,Qarlı,0,63
Qara Qarayev,3,0,0,Yağışlı,2,85
Atatürk,14,3,0,Qarlı,0,91
Tbilisi,14,1,0,Yağışlı,0,56
Tbilisi,9,4,0,Yağışlı,1,100
Atatürk,20,1,0,Qarlı,1,100
Neftçilər,9,5,1,Qarlı,0,70
Heydər Əliyev,11,4,0,Yağışlı,1,86
Ziya Bünyadov,7,6,1,Açıq,0,50
Atatürk,5,3,0,Dumanlı,1,55
Tbilisi,1,4,0,Dumanlı,3,82
Atatürk,2,5,1,Dumanlı,2,64
İstiqlaliyyət,17,0,0,Yağışlı,0,96
İstiqlaliyyət,9,4,0,Yağışlı,2,100
Qara Qarayev,0,0,0,Dumanlı,0,28
Ziya Bünyadov,8,3,0,Dumanlı,0,99
Neftçilər,9,1,0,Açıq,0,65
İstiqlaliyyət,3,0,0,Qarlı,0,44
Tbilisi,2,4,0,Yağışlı,1,55
Ziya Bünyadov,22,3,0,Açıq,0,39
Neftçilər,1,0,0,Qarlı,0,61
Atatürk,5,5,1,Qarlı,0,49
İstiqlaliyyət,4,1,0,Qarlı,0,58
Tbilisi,1,2,0,Qarlı,2,91
Babək,18,1,0,Qarlı,0,96
Qara Qarayev,9,1,0,Qarlı,0,88
Zərdabi,15,1,0,Yağışlı,0,69
Atatürk,5,5,1,Yağışlı,0,55
Ziya Bünyadov,2,3,0,Açıq,0,32
Atatürk,4,5,1,Qarlı,0,38
Atatürk,20,1,0,Yağışlı,0,68
Tbilisi,1,1,0,Açıq,0,12
Atatürk,10,3,0,Açıq,0,46
Tbilisi,16,6,1,Dumanlı,0,70
Zərdabi,6,1,0,Açıq,0,20
İstiqlaliyyət,11,0,0,Qarlı,0,79
Zərdabi,17,4,0,Dumanlı,0,78
Heydər Əliyev,12,1,0,Açıq,0,36
Rəşid Behbudov,19,4,0,Dumanlı,0,97
Atatürk,16,0,0,Yağışlı,1,66
Tbilisi,6,5,1,Açıq,0,26
Heydər Əliyev,20,0,0,Qarlı,0,100
Babək,22,0,0,Açıq,0,21
İstiqlaliyyət,17,3,0,Dumanlı,0,81
Ziya Bünyadov,18,0,0,Qarlı,0,100
Heydər Əliyev,10,4,0,Dumanlı,0,41
Qara Qarayev,4,4,0,Qarlı,0,49
Ziya Bünyadov,18,4,0,Dumanlı,0,98
Zərdabi,23,2,0,Dumanlı,0,22
Heydər Əliyev,15,3,0,Dumanlı,0,74
Neftçilər,20,4,0,Qarlı,0,95
Babək,17,3,0,Dumanlı,1,96
Qara Qarayev,0,2,0,Dumanlı,0,33
Atatürk,23,4,0,Qarlı,0,49
Babək,15,4,0,Qarlı,2,100
Heydər Əliyev,14,6,1,Açıq,1,59
İstiqlaliyyət,20,4,0,Açıq,0,82
Zərdabi,0,4,0,Yağışlı,0,32
Qara Qarayev,1,5,1,Açıq,1,34
Qara Qarayev,8,6,1,Yağışlı,0,40
İstiqlaliyyət,3,1,0,Yağışlı,1,59
Atatürk,9,5,1,Açıq,0,45
İstiqlaliyyət,21,1,0,Qarlı,0,52
Ziya Bünyadov,13,6,1,Dumanlı,0,58
İstiqlaliyyət,3,4,0,Açıq,0,30
Heydər Əliyev,16,3,0,Dumanlı,0,40
Atatürk,20,3,0,Qarlı,0,85
İstiqlaliyyət,7,2,0,Yağışlı,0,74
Zərdabi,8,5,1,Dumanlı,0,58
Ziya Bünyadov,9,1,0,Yağışlı,0,100
Atatürk,21,4,0,Dumanlı,0,36
Ziya Bünyadov,16,5,1,Açıq,0,42
Ziya Bünyadov,23,2,0,Dumanlı,0,48
Tbilisi,16,3,0,Yağışlı,0,58
Neftçilər,21,4,0,Dumanlı,0,38
Atatürk,11,6,1,Qarlı,1,87
Tbilisi,9,0,0,Yağışlı,1,86
Rəşid Behbudov,8,1,0,Qarlı,0,100
Ziya Bünyadov,15,0,0,Açıq,0,34
Zərdabi,16,6,1,Dumanlı,0,37
İstiqlaliyyət,13,2,0,Dumanlı,0,57
Zərdabi,11,3,0,Açıq,0,31
Heydər Əliyev,4,2,0,Qarlı,0,62
Tbilisi,14,5,1,Açıq,2,78
İstiqlaliyyət,18,4,0,Qarlı,0,100
Heydər Əliyev,18,1,0,Yağışlı,0,87
Ziya Bünyadov,16,0,0,Açıq,0,66
Neftçilər,9,5,1,Açıq,0,44
Neftçilər,22,0,0,Açıq,0,12
Atatürk,14,4,0,Qarlı,0,50
Qara Qarayev,17,2,0,Dumanlı,0,78
Rəşid Behbudov,17,0,0,Dumanlı,2,100
Atatürk,21,6,1,Yağışlı,0,40
Ziya Bünyadov,12,4,0,Açıq,0,62
Zərdabi,15,0,0,Qarlı,0,62
Neftçilər,5,5,1,Qarlı,0,40
Heydər Əliyev,14,3,0,Açıq,2,79
Tbilisi,17,5,1,Açıq,2,63
Tbilisi,1,4,0,Yağışlı,0,43
Ziya Bünyadov,2,0,0,Dumanlı,0,40
Ziya Bünyadov,22,6,1,Qarlı,0,71
Atatürk,10,6,1,Dumanlı,0,45
Babək,21,0,0,Yağışlı,0,46
Zərdabi,17,0,0,Qarlı,0,100
Neftçilər,14,0,0,Qarlı,0,66
Qara Qarayev,12,1,0,Yağışlı,0,60
Rəşid Behbudov,15,0,0,Açıq,0,56
Atatürk,23,5,1,Açıq,0,26
Ziya Bünyadov,16,5,1,Açıq,0,53
Neftçilər,6,5,1,Dumanlı,0,32
Atatürk,4,5,1,Yağışlı,0,51
Rəşid Behbudov,17,3,0,Yağışlı,0,100
İstiqlaliyyət,17,2,0,Qarlı,0,100
Ziya Bünyadov,5,0,0,Yağışlı,0,50
Rəşid Behbudov,12,0,0,Dumanlı,0,61
Neftçilər,2,5,1,Dumanlı,0,30
Atatürk,10,1,0,Dumanlı,0,50
Ziya Bünyadov,18,3,0,Açıq,0,83
Atatürk,21,6,1,Dumanlı,0,44
Neftçilər,4,0,0,Qarlı,0,43
Ziya Bünyadov,9,2,0,Yağışlı,0,97
Heydər Əliyev,21,3,0,Açıq,0,26
Rəşid Behbudov,13,0,0,Qarlı,2,96
Heydər Əliyev,16,4,0,Yağışlı,0,65
Qara Qarayev,5,5,1,Qarlı,0,41
Qara Qarayev,5,5,1,Yağışlı,0,32
